x,y,u,v
0,0,9.366934,3.501508
0,0,9.248638,3.802984
0,0,9.307209,3.657303
0,0,9.368065,3.498479
0,0,9.171044,3.986471
0,0,9.263822,3.765848
0,0,9.296951,3.683299
0,0,9.320341,3.623706
0,0,9.382055,3.460787
0,0,9.307671,3.656127
0,0,9.279163,3.727885
0,0,9.263767,3.765982
0,0,9.269504,3.751838
0,0,9.263588,3.766423
0,0,9.372874,3.485576
0,0,9.204523,3.90855
0,0,9.115439,4.112028
0,0,9.212562,3.889562
0,0,9.275331,3.737409
0,0,9.401336,3.408063
0,0,9.255568,3.786089
0,0,9.256517,3.783767
0,0,9.233747,3.838999
0,0,9.451082,3.267575
0,0,9.464596,3.228224
0,0,9.373331,3.484345
0,0,9.266485,3.75929
0,0,9.358183,3.524828
0,0,9.313374,3.641575
0,0,9.150736,4.032868
0,0,9.098171,4.150095
0,0,9.341626,3.568475
0,0,9.261352,3.771918
0,0,9.098634,4.14908
0,0,9.245738,3.810031
0,0,9.211172,3.892855
0,0,9.302922,3.668193
0,0,9.536332,3.009712
0,0,9.242905,3.816897
0,0,9.113461,4.116409
0,0,9.283939,3.715976
0,0,9.333146,3.590598
0,0,9.191949,3.938028
0,0,9.145907,4.043808
0,0,9.269511,3.751823
0,0,9.283749,3.71645
0,0,9.422827,3.348184
0,0,9.373056,3.485085
0,0,9.294415,3.689695
0,0,9.351827,3.541657
0,0,9.559317,2.935891
0,0,9.318179,3.629263
0,0,9.402642,3.404456
0,0,9.260988,3.77281
0,0,9.146566,4.042318
0,0,9.374382,3.481518
0,0,9.393204,3.430409
0,0,9.157538,4.0174
0,0,9.179628,3.966666
0,0,9.355945,3.530765
0,0,9.297129,3.68285
0,0,9.313032,3.642449
0,0,9.436195,3.310321
0,0,9.321113,3.621719
0,0,9.305694,3.661156
0,0,9.287247,3.707701
0,0,9.346487,3.555725
0,0,9.32066,3.622886
0,0,9.264416,3.764385
0,0,9.368453,3.49744
0,0,9.277254,3.732633
0,0,9.266696,3.758768
0,0,9.44848,3.275092
0,0,9.355187,3.532772
0,0,9.316385,3.633863
0,0,9.178475,3.969333
0,0,9.27152,3.746855
0,0,9.319946,3.624723
0,0,9.095414,4.156134
0,0,9.346333,3.556129
0,0,9.255375,3.786561
0,0,9.344136,3.561898
0,0,9.308111,3.655006
0,0,9.33858,3.576441
0,0,9.385587,3.451196
0,0,9.241889,3.819357
0,0,9.276946,3.733399
0,0,9.305729,3.661067
0,0,9.401858,3.406621
0,0,9.351814,3.54169
0,0,9.273022,3.743135
0,0,9.278883,3.728582
0,0,9.378149,3.471356
0,0,9.363454,3.510802
0,0,9.249826,3.800096
0,0,9.286155,3.710434
0,0,9.321902,3.619688
0,0,9.226396,3.856632
0,0,9.375429,3.478696
0,0,9.275962,3.735844
